EMPRES-i Plus,,,,,,,,,,,,,,,,,
Date downloaded: 24/10/2023 21:26,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,
Disease: West Nile Fever,,,,,,,,,,,,,,,,,
Region: Europe,,,,,,,,,,,,,,,,,
Subregion: All,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,
Diagnosis status: All,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
364983,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126411 - NUM-0002788 - VENDAYS-MONTALIVET,45.370193,-1.103766,OIE,Confirmed,Domestic,Equidae,02/10/2023,16/10/2023,,
364984,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126408 - NUM-0002789 - DONNEZAC,45.219865,-0.464677,OIE,Confirmed,Domestic,Equidae,02/10/2023,16/10/2023,,
364189,West Nile Fever,,Europe,Western Europe,Austria,Burgenland,Eisenstadt-Umgebung,47.86,16.37,OIE,Confirmed,Domestic,Equidae,28/09/2023,09/10/2023,,
364982,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126416 - NUM-0002786 - BIGANOS,44.646679,-0.984716,OIE,Confirmed,Domestic,Equidae,27/09/2023,16/10/2023,,
363976,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Rehfelde,52.51,13.88,OIE,Confirmed,Domestic,Equidae,26/09/2023,06/10/2023,,
364981,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126420 - NUM-0002782 - LUDON MEDOC,44.988768,-0.579134,OIE,Confirmed,Domestic,Equidae,26/09/2023,16/10/2023,,
363975,West Nile Fever,,Europe,Western Europe,Germany,Schleswig-Holstein,Escheburg,53.45,10.3,OIE,Confirmed,Domestic,Equidae,23/09/2023,05/10/2023,,
363624,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Magdeburg,52.12,11.62,OIE,Confirmed,Domestic,Equidae,21/09/2023,29/09/2023,,
364826,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Nuthetal,52.344,13.08,OIE,Confirmed,Domestic,Equidae,20/09/2023,13/10/2023,,
364988,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126068 - NUM-0002444 - PORTETS,44.683213,-0.405045,OIE,Confirmed,Domestic,Equidae,19/09/2023,16/10/2023,,
364977,West Nile Fever,,Europe,Western Europe,France,Corse,OB_126547 - 2B-LUNA_CASTELLARE - CASTELLARE-DI-CASINCA,42.432532,9.527741,OIE,Confirmed,Domestic,Equidae,18/09/2023,16/10/2023,,
364980,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126424 - NUM-0002780 - LE PIAN MEDOC,44.979659,-0.662807,OIE,Confirmed,Domestic,Equidae,18/09/2023,16/10/2023,,
364978,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126430 - NUM-0002771 - LISTRAC-MÉDOC,45.065193,-0.784346,OIE,Confirmed,Domestic,Equidae,15/09/2023,16/10/2023,,
364991,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126064 - NUM-0002432 - BLANQUEFORT,44.937788,-0.65333,OIE,Confirmed,Domestic,Equidae,14/09/2023,16/10/2023,,
364986,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,OB_126070 - NUM-0001714 - ARLES,43.647792,4.694921,OIE,Confirmed,Domestic,Equidae,13/09/2023,16/10/2023,,
363623,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Könnern,51.67,11.76,OIE,Confirmed,Domestic,Equidae,12/09/2023,29/09/2023,,
364987,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,OB_126069 - NUM-0002538 - SAINT-MARTIN-DE-CRAU,43.611082,4.886965,OIE,Confirmed,Domestic,Equidae,12/09/2023,16/10/2023,,
363690,West Nile Fever,,Europe,Western Europe,France,Poitou-Charentes,OB_125605 - NUM-0001673 - MORTAGNE-SUR-GIRONDE,45.48394,-0.784451,OIE,Confirmed,Domestic,Equidae,11/09/2023,02/10/2023,,
364985,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,OB_126233 - NUM-0002614 - CHÂTEAURENARD,43.894882,4.837724,OIE,Confirmed,Domestic,Equidae,11/09/2023,16/10/2023,,
363689,West Nile Fever,,Europe,Western Europe,France,Poitou-Charentes,OB_125606 - NUM-0001674 - SAINT-HIPPOLYTE,45.918361,-0.88881,OIE,Confirmed,Domestic,Equidae,10/09/2023,02/10/2023,,
363695,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,OB_125599 - NUM-0001172 - SALON-DE-PROVENCE,43.669447,5.145716,OIE,Confirmed,Domestic,Equidae,10/09/2023,02/10/2023,,
364188,West Nile Fever,,Europe,Western Europe,Austria,Wien,WienW,48.16,16.28,OIE,Confirmed,Wild,Eurasian Eagle-Owl:bubo Bubo(Strigidae),10/09/2023,09/10/2023,,
364979,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126427 - NUM-0002779 - SAINT GIRONS D'AIGUEVIVE,45.156667,-0.550073,OIE,Confirmed,Domestic,Equidae,09/09/2023,16/10/2023,,
362965,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Cottbus,51.74,14.35,OIE,Confirmed,Wild,Anserinae (Unidentified):Anserinae (Incognita)(Anatidae),08/09/2023,22/09/2023,,
363622,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Blankenfelde-Mahlow,52.34,13.43,OIE,Confirmed,Domestic,Equidae,08/09/2023,29/09/2023,,
363696,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,OB_125603 - NUM-0001117 - GRANS,43.61341,5.078464,OIE,Confirmed,Domestic,Equidae,07/09/2023,02/10/2023,,
362964,West Nile Fever,,Europe,Western Europe,Germany,Rheinland-Pfalz,Bobenheim-Roxheim,49.58,8.36,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),06/09/2023,22/09/2023,,
364989,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126067 - NUM-0002442 - SAINTE-HÉLÈNE,44.989605,-0.892501,OIE,Confirmed,Domestic,Equidae,05/09/2023,16/10/2023,,
364990,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_126065 - NUM-0002441 - LUDON-MEDOC,44.98423,-0.569898,OIE,Confirmed,Domestic,Equidae,04/09/2023,16/10/2023,,
364992,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,OB_126063 - NUM-0002269 - GRANS,43.613833,5.088563,OIE,Confirmed,Domestic,Equidae,04/09/2023,16/10/2023,,
363691,West Nile Fever,,Europe,Western Europe,France,Poitou-Charentes,OB_125604 - NUM-0001672 - AIGREFEUILLE-D'AUNIS,46.124248,-0.919196,OIE,Confirmed,Domestic,Equidae,01/09/2023,02/10/2023,,
363694,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,OB_125598 - NUM-0001118 - MALLEMORT,43.736542,5.145716,OIE,Confirmed,Domestic,Equidae,01/09/2023,02/10/2023,,
364976,West Nile Fever,,Europe,Western Europe,France,Corse,OB_126548 - 2B-VICTOIRE_VANZOLASCA - VENZOLASCA,42.496228,9.476403,OIE,Confirmed,Domestic,Equidae,01/09/2023,16/10/2023,,
362966,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Bestensee,52.246,13.599,OIE,Confirmed,Wild,Unspecified Bird,30/08/2023,22/09/2023,,
363146,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Dresedn,51.03,13.75,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),28/08/2023,22/09/2023,,
363693,West Nile Fever,,Europe,Western Europe,France,Provence-Alpes-Cote-d'Azur,OB_125596 - NUM-0001276 - CADOLIVE,43.404926,5.552836,OIE,Confirmed,Domestic,Equidae,28/08/2023,02/10/2023,,
363697,West Nile Fever,,Europe,Western Europe,France,Poitou-Charentes,OB_125607 - NUM-0001671 - SAINT-JEAN-D'ANGÉLY,45.940882,-0.529287,OIE,Confirmed,Captive,Unspecified Bird,27/08/2023,02/10/2023,,
361613,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Halle (Saale),51.5,11.96,OIE,Confirmed,Wild,Parrot,25/08/2023,01/09/2023,,
361614,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Dessau-Roßlau,51.84,12.23,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),25/08/2023,01/09/2023,,
361352,West Nile Fever,,Europe,Western Europe,Germany,Berlin,Berlin,52.61,13.47,OIE,Confirmed,Wild,Accipitridae (Incognita),17/08/2023,25/08/2023,,
363692,West Nile Fever,,Europe,Western Europe,France,Aquitaine,OB_125594 - NUM-0001148 - BRAUD-ET-SAINT-LOUIS,45.256778,-0.608736,OIE,Confirmed,Domestic,Equidae,16/08/2023,02/10/2023,,
363147,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Delitzsch,51.52,12.31,OIE,Confirmed,Wild,Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae),15/08/2023,22/09/2023,,
360674,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Bitterfeld-Wolfen,51.68,12.26,OIE,Confirmed,Wild,Accipitridae (Incognita),08/08/2023,14/08/2023,,
360673,West Nile Fever,,Europe,Western Europe,Germany,Sachsen,Riesa,51.3,13.31,OIE,Confirmed,Wild,Strigidae (Unidentified):Strigidae (Incognita)(Strigidae),07/08/2023,14/08/2023,,
360696,West Nile Fever,,Europe,Western Europe,France,Poitou-Charentes,Les Mathes,45.686739,-1.164917,OIE,Confirmed,Wild,Chilean Flamingo (Phoenicopterus Chilensis),29/07/2023,16/08/2023,,
360058,West Nile Fever,,Europe,Western Europe,Germany,Sachsen-Anhalt,Magdeburg,52.16,11.64,OIE,Confirmed,Wild,Accipitridae (Incognita),28/07/2023,04/08/2023,,
360672,West Nile Fever,,Europe,Western Europe,Germany,Brandenburg,Teltow,52.38,13.26,OIE,Confirmed,Wild,Accipitridae (Incognita),26/07/2023,14/08/2023,,
